ID,PNC,Product,Model,Brand,Approval_Mark,Country_Made_In,EAN13_Code,Product_Address,Color
140,943006472,Gas Cooker,ZCG94396XA,ZANUSSI,,Made in Egypt,7332543631452,Electrolux EGYPT,INOX
141,943006472,Gas Cooker,ZCG94396XA,ZANUSSI,,Made in Egypt,7332543631452,Electrolux EGYPT,INOX
142,943006472,Gas Cooker,ZCG94396XA,ZANUSSI,,Made in Egypt,7332543631452,Electrolux EGYPT,INOX
143,943006472,Gas Cooker,ZCG94396XA,ZANUSSI,,Made in Egypt,7332543631452,Electrolux EGYPT,INOX
144,943006100,Gas Cooker,ZCG62396XA,ZANUSSI,E6,Made in Egypt,7332543331864,Electrolux EGYPT,INOX
145,943006101,Gas Cooker,ZCG62386XA,ZANUSSI,,Made in Egypt,7332543332694,Electrolux EGYPT,INOX
146,943006102,Gas Cooker,ZCG92396XA,ZANUSSI,,Made in Egypt,7332543331871,Electrolux EGYPT,INOX
147,943006103,Gas Cooker,ZCG92386XA,ZANUSSI,,Made in Egypt,7332543332700,Electrolux EGYPT,INOX
148,943006391,Gas Cooker,FNGL90JFUS,FRIGIDAIRE,E6,Made in Egypt,7332543576326,Electrolux EGYPT,INOX
149,943006464,Gas Cooker,ZCG91236XA,ZANUSSI,,Made in Egypt,7332543628742,Electrolux EGYPT,INOX
150,943006465,Gas Cooker,ZCG61296XA,ZANUSSI,,Made in Egypt,7332543628759,Electrolux EGYPT,INOX
151,943006471,Gas Cooker,ZCG64396XA,ZANUSSI,,Made in Egypt,7332543631445,Electrolux EGYPT,INOX
152,943006490,Gas Cooker,ZCG92686XA,ZANUSSI,,Made in Egypt,7332543734634,Electrolux EGYPT,INOX
153,943006491,Gas Cooker,ZCG92696XA,ZANUSSI,,Made in Egypt,7332543734641,Electrolux EGYPT,INOX
154,943006503,Gas Cooker,ZCG922A6XA,ZANUSSI,,Made in Egypt,7332543734665,Electrolux EGYPT,INOX
155,943006583,??????? ???,CLPC906FSE,ClassPro,E6,??? ?? ???,6287022617957,Electrolux EGYPT,BLACK
156,943006585,??????? ???,LNGD90BNRX,Leonard,E6,??? ?? ???,1240000015829,Electrolux EGYPT,INOX
157,943006104,Gas Cooker,ZCG61226XA,ZANUSSI,,Made in Egypt,7332543332717,Electrolux EGYPT,INOX
158,943006106,Gas Cooker,ZCG91246XA,ZANUSSI,,Made in Egypt,7332543332724,Electrolux EGYPT,INOX
159,943006107,Gas Cooker,ZCG61206WA,ZANUSSI,,Made in Egypt,7332543332731,Electrolux EGYPT,WHITE
160,943006110,Gas Cooker,ZCG61216DA,ZANUSSI,,Made in Egypt,7332543332762,Electrolux EGYPT,INOX
161,943006113,Gas Cooker,ZCG61236XA,ZANUSSI,,Made in Egypt,7332543332793,Electrolux EGYPT,INOX
162,943006115,Gas Cooker,ZCG61266XA,ZANUSSI,,Made in Egypt,7332543332816,Electrolux EGYPT,INOX
163,943006119,Gas Cooker,EKG911A3OW,ELECTROLUX,,Made in Egypt,7332543335664,Electrolux EGYPT,White
164,943006120,Gas Cooker,EKG611A0OW,ELECTROLUX,,Made in A.R.E.,7332543335213,Electrolux EGYPT,WHITE
165,943006122,Gas Cooker,EKG611A0OX,ELECTROLUX,E6,Made in A.R.E.,7332543335237,Electrolux EGYPT,INOX
166,943006124,Gas Cooker,EKG613A1OW,ELECTROLUX,,Made in A.R.E.,7332543335305,Electrolux EGYPT,White
167,943006126,Gas Cooker,EKG613A1OX,ELECTROLUX,,Made in A.R.E.,7332543335329,Electrolux EGYPT,INOX
168,943006127,Gas Cooker,EKG613A1OX,ELECTROLUX,,Made in Egypt,7332543335336,Electrolux EGYPT,INOX
169,943006130,Gas Cooker,EKK615A1OX,ELECTROLUX,,Made in A.R.E.,7332543331864,Electrolux EGYPT,INOX
170,943006132,Gas Cooker,EKG911A3OX,ELECTROLUX,,Made in Egypt,7332543335718,Electrolux EGYPT,INOX
171,943006133,Gas Cooker,EKK615A1OX,ELECTROLUX,,Made in A.R.E.,7332543335725,Electrolux EGYPT,INOX
172,943006138,Gas Cooker,ZCG61236XA,ZANUSSI,CM,Made in A.R.E.,7332543333967,Electrolux EGYPT,INOX
173,943006144,Gas Cooker,ZCG62256XA,ZANUSSI,CM,Made in A.R.E.,7332543334025,Electrolux EGYPT,INOX
174,943006147,Gas Cooker,ZCG62256XA,ZANUSSI,,Made in Egypt,7332543334056,Electrolux EGYPT,INOX
175,943006150,Gas Cooker,ZCG61266WA,ZANUSSI,CM,Made in A.R.E.,7332543334063,Electrolux EGYPT,WHITE
176,943006152,??????? ???,ZCG61266XA,ZANUSSI,E6,??? ?? ?.?.?,7332543416165,Electrolux EGYPT,INOX
177,943006155,Gas Cooker,ZCG91206WA,ZANUSSI,,Made in Egypt,7332543334315,Electrolux EGYPT,White
178,943006156,Gas Cooker,ZCG91206XA,ZANUSSI,,Made in Egypt,7332543334322,Electrolux EGYPT,INOX
179,943006160,Gas Cooker,EKG911A1OW,ELECTROLUX,,Made in Egypt,7332543335763,Electrolux EGYPT,White
180,943006162,Gas Cooker,EKG911A1OX,ELECTROLUX,,Made in Egypt,7332543335787,Electrolux EGYPT,INOX
181,943006164,Gas Cooker,EKG913A2OX,ELECTROLUX,,Made in Egypt,7332543335794,Electrolux EGYPT,INOX
182,943006165,Gas Cooker,EKG913A2OX,ELECTROLUX,,Made in Egypt,7332543335800,Electrolux EGYPT,INOX
183,943006168,Gas Cooker,WNGB90JGRSO,WHITE WESTINGHOUSE,,Made in Egypt,7332543336654,Electrolux EGYPT,INOX
